=	v-w1f1	=-001
usnadnit	v-w7310hsa_721	usnadnit-001	substituted with v-w7310f2_ZU
usnadňovat	v-w7311f1	usnadňovat-001
usnout	v-w10432f2	usnout-001
usnout	v-w10432hsa_1855	usnout-002
usnést se	v-w7314f1	usnést se-001
usoudit	v-w7315f1	usoudit-002
usoudit	v-w7315f3_ZU	usoudit-001
usoudit	v-w7315f2	usoudit-001	substituted with v-w7315f3_ZU
usoužit	v-w7316f1	usoužit-001
uspat	v-w11995_ZUf1_ZU	uspat-001
uspat se	v-w11996_ZUf1_ZU	uspat se-001
uspokojit	v-w7324f1	uspokojit-001
uspokojovat	v-w7326f1	uspokojovat-001
uspořit	v-w7331f1	uspořit-001
uspořádat	v-w7330f1	uspořádat-001
uspořádat	v-w7330f2	uspořádat-003
uspořádat	v-w7330f3	uspořádat-002
uspořádat	v-w7330hsa_188	uspořádat-004
uspořádávat	v-w11184f2	uspořádávat-001
uspíšit	v-w7322f1	uspíšit-001
uspěchat	v-w7318f1	uspěchat-001
uspět	v-w7321f1	uspět-002
uspět	v-w7321f2	uspět-001
usrkávat	v-w11158f2	usrkávat-001
ustalovat	v-w11989_ZUf1_ZU	ustalovat-001
ustalovat se	v-w7333f1	ustalovat se-001
ustanovit	v-w7335f1	ustanovit-001
ustanovit	v-w7335f2	ustanovit-002
ustanovit	v-w7335hsa_392	ustanovit-003
ustanovovat	v-w10736f2	ustanovovat-001
ustat	v-w7336f1	ustat-002
ustat	v-w7336f2	ustat-001
ustavit	v-w7340f1	ustavit-001
ustavit	v-w7340f2_ZU	ustavit-002
ustavovat	v-w7341f1	ustavovat-002
ustavovat	v-w7341f2	ustavovat-001
ustlat	v-w11612_ZUhsa_2059	ustlat-001
ustlat si	v-w11613_ZUf1_ZU	ustlat si-001
ustoupit	v-w7344f1	ustoupit-001
ustoupit	v-w7344f2	ustoupit-002
ustoupit	v-w7344f3	ustoupit-003
ustoupit	v-w7344f4	ustoupit-005
ustoupit	v-w7344f5	ustoupit-004
ustoupit	v-w7344f6_ZU	ustoupit-006
ustoupit	v-w7344hsa_518	ustoupit-006	substituted with v-w7344f6_ZU
ustrnout	v-w7346f1	ustrnout-001
ustrojit	v-w12152_ZUf1_ZU	ustrojit-001
ustrojit se	v-w11708_ZUf1_ZU	ustrojit se-001
ustupovat	v-w7350f1	ustupovat-001
ustupovat	v-w7350f2	ustupovat-003
ustupovat	v-w7350f3	ustupovat-002
ustupovat	v-w7350f4	ustupovat-004
ustupovat	v-w7350f5	ustupovat-005
ustálit	v-whsa_905f1_ZU	ustálit-001
ustálit	v-whsa_905hsa_906	ustálit-001	substituted with v-whsa_905f1_ZU
ustálit se	v-w7332f1	ustálit se-001
ustát	v-w7337f1	ustát-001
ustávat	v-w7338f1	ustávat-002
ustávat	v-w7338f2	ustávat-001
usuzovat	v-w7352f1	usuzovat-002
usuzovat	v-w7352f2	usuzovat-001
usušit	v-whsa_1478hsa_1479	usušit-001
usvědčit	v-w7354f1	usvědčit-001
usvědčit	v-w7354f2	usvědčit-002
usvědčovat	v-w12378_MMf1_MM	usvědčovat-001
usíci	v-w11740_ZUf1_ZU	usíci-001
usídlit se	v-w7282f1	usídlit se-001
usídlit se	v-w7282f2	usídlit se-002
usínat	v-w10593f2	usínat-001
utahat	v-w11751_ZUf1_ZU	utahat-001
utahovat	v-w7365f3_ZU	utahovat-001
utahovat	v-w7365f1	utahovat-001	substituted with v-w7365f3_ZU
utahovat	v-w7365f4_ZU	utahovat-002
utahovat	v-w7365f2_ZU	utahovat-002	substituted with v-w7365f4_ZU
utahovat si	v-w7366f1	utahovat si-001
utahovat si	v-w7366f2_ZU	utahovat si-002
utajovat	v-w7368f1	utajovat-001
utichat	v-w10724f2	utichat-001
utichnout	v-w7375f1	utichnout-001
utišit	v-w10496f2	utišit-001
utišit	v-w10496hsa_217	utišit-002
utišit se	v-whsa_210hsa_211	utišit se-001
utišovat	v-w7378f1	utišovat-001
utkat se	v-w7380f1	utkat se-002
utkat se	v-w7380f2	utkat se-001
utkvít	v-w7383f1	utkvít-001
utkvít	v-w7383f2	utkvít-002
utkvět	v-w7382f1	utkvět-001
utkvět	v-w7382f2	utkvět-002
utkávat se	v-w7381f1	utkávat se-002
utkávat se	v-w7381f2	utkávat se-001
utlačovat	v-w10823f2	utlačovat-001
utlouci	v-w7385f1	utlouci-001
utloukat	v-w7386f1	utloukat-001
utlumit	v-w7389f1	utlumit-001
utlumit	v-w7389f2	utlumit-002
utlumit se	v-whsa_736hsa_737	utlumit se-001
utnout	v-w11249f1	utnout-001
utnout se	v-w7391f1	utnout se-001
utonout	v-w7395f1	utonout-001
utopit	v-w7398f1	utopit-001
utopit	v-w7398f2_ZU	utopit-002
utopit	v-w7398hsa_1213	utopit-002	substituted with v-w7398f2_ZU
utopit se	v-w7399f1	utopit se-001
utratit	v-w7402f2	utratit-002
utratit	v-w7402f4_ZU	utratit-001
utratit	v-w7402f1	utratit-001	substituted with v-w7402f4_ZU
utratit	v-w7402hsa_302	utratit-003
utratit	v-w7402f3	utratit-003	substituted with v-w7402hsa_302
utrhnout	v-w7403f1	utrhnout-001
utrhnout se	v-w7404f1	utrhnout se-002
utrhnout se	v-w7404f2	utrhnout se-001
utrhávat	v-w12280_ZUf1_ZU	utrhávat-001
utrousit	v-w10206f2	utrousit-001
utrpět	v-w7406f1	utrpět-001
utrpět	v-w7406f2	utrpět-002
utrácet	v-w7401f2_ZU	utrácet-001
utrácet	v-w7401f1	utrácet-001	substituted with v-w7401f2_ZU
utrácet	v-w7401hsa_757	utrácet-002
utržit	v-w7407f2_ZU	utržit-002
utržit	v-w7407hsa_1168	utržit-002	substituted with v-w7407f2_ZU
utržit	v-w7407hsa_1167	utržit-001
utržit	v-w7407f1	utržit-001	substituted with v-w7407hsa_1167
utuchat	v-w7409f1	utuchat-001
ututlat	v-w7410f1	ututlat-001
utužit	v-w10373f3	utužit-001
utužovat	v-w10374f3	utužovat-001
utvořit	v-w7415f1	utvořit-001
utvořit	v-w7415f2_ZU	utvořit-002
utvořit se	v-w11705_ZUf3_ZU	utvořit se-001
utvořit se	v-w11705_ZUf1_ZU	utvořit se-001	substituted with v-w11705_ZUf3_ZU
utvořit se	v-w11705_ZUf2_ZU	utvořit se-001	substituted with v-w11705_ZUf3_ZU
utvrdit	v-w7416f1	utvrdit-001
utvrdit	v-w7416hsa_174	utvrdit-002
utvrzovat	v-w7417f1	utvrzovat-002
utvrzovat	v-w7417f2	utvrzovat-001
utvářet	v-w7412f1	utvářet-001
utvářet se	v-w7413f1	utvářet se-001
utábořit se	v-w7362f1	utábořit se-001
utáhnout	v-w7363f1	utáhnout-003
utáhnout	v-w7363f2	utáhnout-001
utáhnout	v-w7363f4_ZU	utáhnout-002
utáhnout	v-w7363f3_ZU	utáhnout-002	substituted with v-w7363f4_ZU
utápět se	v-w11250f1	utápět se-001
utéci	v-w7370f1	utéci-002
utéci	v-w7370f2	utéci-001
utéci	v-w7370f3	utéci-003
utéci se	v-w7371f1	utéci se-001
utíkat	v-w7376f1	utíkat-001
utíkat	v-w7376f2	utíkat-002
utíkat	v-w7376f3_ZU	utíkat-003
utíkat	v-w7376hsa_1694	utíkat-003	substituted with v-w7376f3_ZU
utírat	v-w7377f1	utírat-001
utěšit	v-w10583f2	utěšit-001
utěšovat	v-w7374f1	utěšovat-001
utřídit	v-w7408f1	utřídit-001
utřít	v-w12317_MMf1_MM	utřít-001
uvadnout	v-w10871f2	uvadnout-001
uvadnout	v-w10871f3_ZU	uvadnout-002
uvalit	v-w7424f5_ZU	uvalit-001
uvalit	v-w7424f2	uvalit-001	substituted with v-w7424f5_ZU
uvalit	v-w7424f6_ZU	uvalit-002
uvalit	v-w7424f1	uvalit-002	substituted with v-w7424f6_ZU
uvalit	v-w7424f3	uvalit-002	substituted with v-w7424f6_ZU
uvalit	v-w7424f4_ZU	uvalit-002	substituted with v-w7424f6_ZU
uvalit	v-w7424hsa_239	uvalit-002	substituted with v-w7424f6_ZU
uvalovat	v-w10192f4	uvalovat-001
uvalovat	v-w10192f5	uvalovat-002
uvařit	v-w7426f1	uvařit-001
uvařit	v-w7426f2_ZU	uvařit-002
uvařit	v-w7426hsa_1725	uvařit-002	substituted with v-w7426f2_ZU
uvažovat	v-w7431f1	uvažovat-002
uvažovat	v-w7431f2	uvažovat-004
uvažovat	v-w7431f3	uvažovat-001
uvažovat	v-w7431f4	uvažovat-003
uveřejnit	v-w7445f1	uveřejnit-001
uveřejnit	v-w7445f2	uveřejnit-002
uveřejňovat	v-w7447f1	uveřejňovat-001
uveřejňovat	v-w7447f2	uveřejňovat-002
uvidět	v-w7452f1	uvidět-002
uvidět	v-w7452f2	uvidět-001
uvidět	v-w7452f3_ZU	uvidět-003
uvidět	v-w7452hsa_1797	uvidět-004
uvidět se	v-w7453f1	uvidět se-001
uvidět se	v-w7453hsa_183	uvidět se-002	obsolete
uvolit se	v-w7458f2_ZU	uvolit se-001
uvolit se	v-w7458f1	uvolit se-001	substituted with v-w7458f2_ZU
uvolnit	v-w7460f1	uvolnit-002
uvolnit	v-w7460f2	uvolnit-003
uvolnit	v-w7460f3	uvolnit-001
uvolnit	v-w7460f5	uvolnit-005
uvolnit	v-w7460f6	uvolnit-006
uvolnit	v-w7460f7_ZU	uvolnit-008
uvolnit	v-w7460hsa_515	uvolnit-008	substituted with v-w7460f7_ZU
uvolnit	v-w7460f8_ZU	uvolnit-004
uvolnit	v-w7460f4	uvolnit-004	substituted with v-w7460f8_ZU
uvolnit	v-w7460hsa_514	uvolnit-007
uvolnit se	v-w7461f1	uvolnit se-001
uvolnit se	v-w7461f3	uvolnit se-003
uvolnit se	v-w7461f4_ZU	uvolnit se-002
uvolnit se	v-w7461f2	uvolnit se-002	substituted with v-w7461f4_ZU
uvolnit se	v-w7461f6_ZU	uvolnit se-004
uvolnit se	v-w7461f5_ZU	uvolnit se-004	substituted with v-w7461f6_ZU
uvolnit se	v-w7461hsa_1806	uvolnit se-005
uvolnit se	v-w7461hsa_1807	uvolnit se-006
uvolňovat	v-w7463f1	uvolňovat-001
uvolňovat	v-w7463f2	uvolňovat-002
uvolňovat	v-w7463f3_ZU	uvolňovat-003
uvolňovat	v-w7463hsa_151	uvolňovat-003	substituted with v-w7463f3_ZU
uvolňovat	v-w7463f4_ZU	uvolňovat-004
uvolňovat se	v-w7464f1	uvolňovat se-001
uvrhnout	v-w7466f1	uvrhnout-002
uvrhnout	v-w7466f2	uvrhnout-001
uvádět	v-w7420f1	uvádět-008
uvádět	v-w7420f2	uvádět-001
uvádět	v-w7420f3	uvádět-005
uvádět	v-w7420f4	uvádět-003
uvádět	v-w7420f5	uvádět-006
uvádět	v-w7420f6	uvádět-002
uvádět	v-w7420f7	uvádět-010
uvádět	v-w7420f8	uvádět-009
uvádět	v-w7420f9	uvádět-004
uvádět	v-w7420f10_ZU	uvádět-007
uvádět	v-w7420hsa_69	uvádět-011
uvázat	v-whsa_451f1_ZU	uvázat-001
uvázat	v-whsa_451hsa_452	uvázat-001	substituted with v-whsa_451f1_ZU
uvázat	v-whsa_451hsa_453	uvázat-002
uvázat se	v-w11407f2	uvázat se-001
uváznout	v-w7428f1	uváznout-001
uvážit	v-w7429f1	uvážit-001
uvést	v-w7449f2	uvést-005
uvést	v-w7449f3	uvést-001
uvést	v-w7449f4	uvést-002
uvést	v-w7449f5	uvést-003
uvést	v-w7449f6	uvést-004
uvést	v-w7449f7	uvést-010
uvést	v-w7449f8	uvést-011
uvést	v-w7449f9	uvést-006
uvést	v-w7449f10_ZU	uvést-013
uvést	v-w7449f11_ZU	uvést-007
uvést	v-w7449f1	uvést-007	substituted with v-w7449f11_ZU
uvést	v-w7449f13_ZU	uvést-012
uvést	v-w7449f14_ZU	uvést-009
uvést	v-w7449f15_ZU	uvést-008
uvést	v-w7449f12_ZU	uvést-008	substituted with v-w7449f15_ZU
uvést	v-w7449hsa_686	uvést-008	substituted with v-w7449f15_ZU
uvést se	v-w7450f1	uvést se-001
uvítat	v-w7455f1	uvítat-003
uvítat	v-w7455f2	uvítat-002
uvítat	v-w7455f3	uvítat-001
uvíznout	v-w7456f1	uvíznout-001
uvíznout	v-w7456f2	uvíznout-002
uvíznout	v-w7456f3_ZU	uvíznout-003
uvíznout	v-w7456hsa_856	uvíznout-003	substituted with v-w7456f3_ZU
uvědomit	v-w7435f1	uvědomit-001
uvědomit si	v-w7436f1	uvědomit si-001
uvědomovat si	v-w7439f1	uvědomovat si-001
uvěznit	v-w7451f1	uvěznit-001
uvězňovat	v-w10543f2	uvězňovat-001
uvěřit	v-w7448f2	uvěřit-002
uvěřit	v-w7448f3_ZU	uvěřit-001
uvěřit	v-w7448f1	uvěřit-001	substituted with v-w7448f3_ZU
uzamknout	v-w7469f1	uzamknout-001
uzavírat	v-w7472f3	uzavírat-002
uzavírat	v-w7472f4	uzavírat-001
uzavírat	v-w7472f6_ZU	uzavírat-003
uzavírat	v-w7472f2	uzavírat-003	substituted with v-w7472f6_ZU
uzavírat	v-w7472f8_ZU	uzavírat-006	obsolete
uzavírat	v-w7472f10_ZU	uzavírat-007	obsolete
uzavírat	v-w7472f12_ZU	uzavírat-004
uzavírat	v-w7472f5_ZU	uzavírat-004	substituted with v-w7472f12_ZU
uzavírat	v-w7472f9_ZU	uzavírat-004	substituted with v-w7472f12_ZU
uzavírat	v-w7472f13_ZU	uzavírat-005
uzavírat	v-w7472f1	uzavírat-005	substituted with v-w7472f13_ZU
uzavírat	v-w7472f7_ZU	uzavírat-005	substituted with v-w7472f13_ZU
uzavírat	v-w7472f11_ZU	uzavírat-005	substituted with v-w7472f13_ZU
uzavírat se	v-w7473f1	uzavírat se-001
uzavřít	v-w7476f2	uzavřít-004
uzavřít	v-w7476f3	uzavřít-005
uzavřít	v-w7476f4	uzavřít-001
uzavřít	v-w7476f5	uzavřít-006
uzavřít	v-w7476f6	uzavřít-007
uzavřít	v-w7476f7	uzavřít-002
uzavřít	v-w7476f8	uzavřít-008
uzavřít	v-w7476f9	uzavřít-003
uzavřít	v-w7476f13_ZU	uzavřít-011	obsolete
uzavřít	v-w7476f11_ZU	uzavřít-011	substituted with v-w7476f13_ZU
uzavřít	v-w7476f17_ZU	uzavřít-012	obsolete
uzavřít	v-w7476f18_ZU	uzavřít-009
uzavřít	v-w7476f10_ZU	uzavřít-009	substituted with v-w7476f18_ZU
uzavřít	v-w7476f14_ZU	uzavřít-009	substituted with v-w7476f18_ZU
uzavřít	v-w7476f15_ZU	uzavřít-009	substituted with v-w7476f18_ZU
uzavřít	v-w7476f16_ZU	uzavřít-009	substituted with v-w7476f18_ZU
uzavřít	v-w7476hsa_794	uzavřít-010
uzavřít	v-w7476f1	uzavřít-010	substituted with v-w7476hsa_794
uzavřít	v-w7476f12_ZU	uzavřít-010	substituted with v-w7476hsa_794
uzavřít	v-w7476hsa_924	uzavřít-010	substituted with v-w7476hsa_794
uzavřít se	v-w7477f1	uzavřít se-001
uzdravit	v-w10553f2	uzdravit-001
uzdravit se	v-w11341f1	uzdravit se-001
uzdravovat	v-w7480f1	uzdravovat-001
uzdravovat	v-w7480f2	uzdravovat-002
uzdravovat se	v-whsa_108hsa_109	uzdravovat se-001
uzemnit	v-w7481f1	uzemnit-001
uzlit se	v-w7483f1	uzlit se-001
uznat	v-w7486f3_ZU	uznat-002
uznat	v-w7486f1	uznat-002	substituted with v-w7486f3_ZU
uznat	v-w7486f4_MM	uznat-001
uznat	v-w7486f2	uznat-001	substituted with v-w7486f4_MM
uznat	v-w7486hsa_531	uznat-003	obsolete
uznávat	v-w7489f1	uznávat-002
uznávat	v-w7489f2	uznávat-001
uzobnout	v-w10356f2	uzobnout-001
uzpůsobit	v-w10830f3	uzpůsobit-001
uzpůsobit	v-w10830f4_ZU	uzpůsobit-002
uzpůsobit	v-w10830f2	uzpůsobit-002	substituted with v-w10830f4_ZU
uzrát	v-w10137f2	uzrát-001
uzurpovat	v-w11614_ZUf1_ZU	uzurpovat-001
uzákonit	v-w7468f1	uzákonit-001
uzákoňovat	v-w10988f2	uzákoňovat-001
učarovat	v-w12277_ZUf1_ZU	učarovat-001
učesat	v-w12315_MMf1_MM	učesat-001
učinit	v-w6999f1	učinit-004
učinit	v-w6999f3	učinit-002
učinit	v-w6999f6	učinit-008
učinit	v-w6999f7	učinit-010
učinit	v-w6999f8	učinit-001
učinit	v-w6999f9	učinit-012
učinit	v-w6999f10	učinit-006
učinit	v-w6999f11	učinit-011
učinit	v-w6999f12	učinit-005
učinit	v-w6999f16_ZU	učinit-003
učinit	v-w6999f4	učinit-003	substituted with v-w6999f16_ZU
učinit	v-w6999f17_ZU	učinit-009
učinit	v-w6999f2	učinit-009	substituted with v-w6999f17_ZU
učinit	v-w6999f13_ZU	učinit-009	substituted with v-w6999f17_ZU
učinit	v-w6999f14_ZU	učinit-009	substituted with v-w6999f17_ZU
učinit	v-w6999f15_ZU	učinit-009	substituted with v-w6999f17_ZU
učinit	v-w6999hsa_1047	učinit-009	substituted with v-w6999f17_ZU
učinit	v-w6999f18_ZU	učinit-007
učinit	v-w6999f5	učinit-007	substituted with v-w6999f18_ZU
učinit si	v-w11606_ZUf2_ZU	učinit si-001
učinit si	v-w11606_ZUf1_ZU	učinit si-001	substituted with v-w11606_ZUf2_ZU
učit	v-w7003f1	učit-001
učit se	v-w7006f3_ZU	učit se-004
učit se	v-w7006f4_ZU	učit se-003
učit se	v-w7006f5_ZU	učit se-001
učit se	v-w7006f1	učit se-001	substituted with v-w7006f5_ZU
učit se	v-w7006f8_ZU	učit se-002
učit se	v-w7006f2	učit se-002	substituted with v-w7006f8_ZU
učit se	v-w7006f6_ZU	učit se-002	substituted with v-w7006f8_ZU
učit se	v-w7006f7_ZU	učit se-002	substituted with v-w7006f8_ZU
učit se	v-w7006hsa_172	učit se-002	substituted with v-w7006f8_ZU
učit se	v-w7006hsa_212	učit se-005	obsolete
učívat	v-w7007f1	učívat-001
učívávat	v-w11905_ZUf1_ZU	učívávat-001
uřezat	v-whsb_710hsa_711	uřezat-001
uřvat	v-w11879_ZUf1_ZU	uřvat-001
uříznout	v-w7271f1	uříznout-001
ušetřit	v-w7355f3_ZU	ušetřit-001
ušetřit	v-w7355f1	ušetřit-001	substituted with v-w7355f3_ZU
ušetřit	v-w7355hsa_43	ušetřit-002
ušetřit	v-w7355f2	ušetřit-002	substituted with v-w7355hsa_43
ušetřit si	v-w7356f1	ušetřit si-001
ušklíbnout se	v-w7358f1	ušklíbnout se-002
ušklíbnout se	v-w7358f2	ušklíbnout se-001
uškodit	v-w7359f1	uškodit-001
uškrtit	v-w7361f1	uškrtit-001
ušlapat	v-w11693_ZUf1_ZU	ušlapat-001
ušlapat	v-w11693_ZUf2_ZU	ušlapat-002
ušlapávat	v-w11692_ZUf2_ZU	ušlapávat-001
ušlapávat	v-w11692_ZUf1_ZU	ušlapávat-001	substituted with v-w11692_ZUf2_ZU
ušpinit se	v-w12316_MMf1_MM	ušpinit se-001
uštědřit	v-w10946hsa_634	uštědřit-001
uštědřit	v-w10946f3	uštědřit-001	substituted with v-w10946hsa_634
ušít	v-w7357f1	ušít-002
ušít	v-w7357f2	ušít-003
ušít	v-w7357f3	ušít-001
užasnout	v-w12188_ZUf1_ZU	užasnout-001
uživit	v-w7500f1	uživit-001
uživit se	v-w7501f1	uživit se-001
užírat	v-w7491f1	užírat-001
užírat se	v-w7492f1	užírat se-001
užít	v-w7493f1	užít-001
užít	v-w7493f2	užít-002
užít	v-w7493f4_ZU	užít-004
užít	v-w7493hsa_630	užít-004	substituted with v-w7493f4_ZU
užít	v-w7493f5_ZU	užít-003
užít	v-w7493f3	užít-003	substituted with v-w7493f5_ZU
užít si	v-w7495f3_ZU	užít si-001
užít si	v-w7495f1	užít si-001	substituted with v-w7495f3_ZU
užít si	v-w7495f2_ZU	užít si-001	substituted with v-w7495f3_ZU
užívat	v-w7497f1	užívat-001
užívat	v-w7497f2	užívat-002
užívat	v-w7497f3	užívat-003
užívat	v-w7497f6_ZU	užívat-004
užívat	v-w7497f4	užívat-004	substituted with v-w7497f6_ZU
užívat	v-w7497f5_ZU	užívat-004	substituted with v-w7497f6_ZU
užívat	v-w7497hsa_715	užívat-005	obsolete
užívat si	v-w7499f1	užívat si-001
vadit	v-w7503f2_ZU	vadit-002
vadit	v-w7503hsa_1355	vadit-002	substituted with v-w7503f2_ZU
vadit	v-w7503hsa_1354	vadit-001
vadit	v-w7503f1	vadit-001	substituted with v-w7503hsa_1354
vadnout	v-whsa_205hsa_206	vadnout-001
valit	v-w11906_ZUf1_ZU	valit-001
valit se	v-w7510f1	valit se-001
valorizovat	v-w7513f1	valorizovat-001
vandrovat	v-w7514f1	vandrovat-001
vanout	v-w7515f1	vanout-001
vanout	v-w7515f2	vanout-002
varovat	v-w7520f1	varovat-001
varovat se	v-w11615_ZUf1_ZU	varovat se-001
vařit	v-w7523f1	vařit-001
vařit	v-w7523f2	vařit-002
vařit	v-w7523hsa_1613	vařit-003
vařit se	v-whsa_510hsa_511	vařit se-001
vařívávat	v-whsa_1554f1_ZU	vařívávat-001
vařívávat	v-whsa_1554hsa_1555	vařívávat-001	substituted with v-whsa_1554f1_ZU
vběhnout	v-w10053f2	vběhnout-001
vcházet	v-w7609f1	vcházet-001
vcházet	v-w7609hsa_1256	vcházet-002
vcítit se	v-w7536hsa_1405	vcítit se-001
vcítit se	v-w7536f1	vcítit se-001	substituted with v-w7536hsa_1405
vdechnout	v-w10759f2	vdechnout-001
vdát	v-whsa_315f1_ZU	vdát-001
vdát	v-whsa_315hsa_316	vdát-001	substituted with v-whsa_315f1_ZU
vdát se	v-w7539f1	vdát se-001
vdávat	v-whsa_256f1_ZU	vdávat-001
vdávat	v-whsa_256hsa_257	vdávat-001	substituted with v-whsa_256f1_ZU
vdávat se	v-w7540f1	vdávat se-001
vděčit	v-w7541f1	vděčit-001
vecpat se	v-whsa_676hsa_677	vecpat se-001
vecpávat	v-w10263f2	vecpávat-001
vegetovat	v-whsa_1350hsa_1351	vegetovat-001
vehnat	v-w11135f2	vehnat-001
vejít	v-w7556f1	vejít-002
vejít	v-w7556f3	vejít-001
vejít	v-w7556f4_ZU	vejít-003
vejít	v-w7556f2	vejít-003	substituted with v-w7556f4_ZU
vejít se	v-w7557f1	vejít se-001
vejít se	v-w7557f2_ZU	vejít se-002
velebit	v-w7558f1	velebit-001
velet	v-w7561f1	velet-002
velet	v-w7561f2	velet-001
ventilovat	v-w10742f2	ventilovat-001
ventilovat	v-w10742f3_ZU	ventilovat-002
venčit	v-w11931_ZUf1_ZU	venčit-001
vepsat	v-w7571f1	vepsat-001
vepsat se	v-w7572f1	vepsat se-001
verbovat	v-w7573f1	verbovat-001
veselit se	v-w7582f1	veselit se-001
veslovat	v-w10521f2	veslovat-001
vestavět	v-w7584f1	vestavět-001
vetkat	v-w7590f1	vetkat-001
vetknout	v-w10195f3	vetknout-001
vetovat	v-w7592f1	vetovat-001
vetřít se	v-w7595f1	vetřít se-001
večeřet	v-w10468f2	večeřet-001
vhazovat	v-w7606f1	vhazovat-001
vhlížet	v-w12318_MMf1_MM	vhlížet-001
vhodit	v-w7607f1	vhodit-001
vhánět	v-whsa_827hsa_828	vhánět-001
vidět	v-w7612f4	vidět-002
vidět	v-w7612f6	vidět-011
vidět	v-w7612f8	vidět-005
vidět	v-w7612f9	vidět-004
vidět	v-w7612f10	vidět-012
vidět	v-w7612f11	vidět-008
vidět	v-w7612f12	vidět-010
vidět	v-w7612f13	vidět-013
vidět	v-w7612f14_ZU	vidět-014
vidět	v-w7612f17_ZU	vidět-001
vidět	v-w7612f2	vidět-001	substituted with v-w7612f17_ZU
vidět	v-w7612f18_ZU	vidět-009
vidět	v-w7612f3	vidět-009	substituted with v-w7612f18_ZU
vidět	v-w7612f20_ZU	vidět-007
vidět	v-w7612f1	vidět-007	substituted with v-w7612f20_ZU
vidět	v-w7612f15_ZU	vidět-007	substituted with v-w7612f20_ZU
vidět	v-w7612f16_ZU	vidět-007	substituted with v-w7612f20_ZU
vidět	v-w7612f19_ZU	vidět-007	substituted with v-w7612f20_ZU
vidět	v-w7612f21_ZU	vidět-015
vidět	v-w7612f22_ZU	vidět-006
vidět	v-w7612f7	vidět-006	substituted with v-w7612f22_ZU
vidět	v-w7612f23_ZU	vidět-003
vidět	v-w7612f5	vidět-003	substituted with v-w7612f23_ZU
vidět	v-w7612hsa_1040	vidět-016
vidět	v-w7612hsa_1041	vidět-017	obsolete
vidět se	v-w7613f1	vidět se-001
vidět se	v-w7613hsa_1356	vidět se-002	obsolete
viklat se	v-w11263f1	viklat se-001
vinit	v-w7617f1	vinit-001
vinout se	v-w11492f1	vinout se-002
vinout se	v-w11492f2	vinout se-001
viset	v-w7622f2	viset-003
viset	v-w7622f3	viset-002
viset	v-w7622f4_ZU	viset-005
viset	v-w7622hsa_718	viset-005	substituted with v-w7622f4_ZU
viset	v-w7622f5_ZU	viset-001
viset	v-w7622f1	viset-001	substituted with v-w7622f5_ZU
viset	v-w7622f6_ZU	viset-006
viset	v-w7622hsa_717	viset-004
vjet	v-w7629f1	vjet-001
vjíždět	v-w7630f1	vjíždět-001
vklouznout	v-w7634f1	vklouznout-001
vkládat	v-w7633f1	vkládat-001
vkládat	v-w7633f2	vkládat-002
vkročit	v-w7636f1	vkročit-001
vkrádat se	v-w7635f1	vkrádat se-001
vkrást se	v-whsa_437hsa_438	vkrást se-001
vlastnit	v-w7650f1	vlastnit-001
vletět	v-w11726_ZUf1_ZU	vletět-001
vlichotit se	v-w11339f1	vlichotit se-001
vlnit se	v-w7656f1	vlnit se-001
vloupat se	v-w7658f1	vloupat se-001
vložit	v-w7661f1	vložit-001
vložit	v-w7661f2	vložit-002
vložit se	v-w7662f1	vložit se-001
vládnout	v-w7641f1	vládnout-003
vládnout	v-w7641f2	vládnout-001
vládnout	v-w7641f3	vládnout-002
vlákat	v-w10754f2	vlákat-001
vlát	v-w7651f1	vlát-001
vláčet	v-whsa_180f1_ZU	vláčet-001
vláčet	v-whsa_180hsa_181	vláčet-001	substituted with v-whsa_180f1_ZU
vléci	v-w7652f1	vléci-001
vléci se	v-w7653f1	vléci se-001
vléci se	v-w7653hsa_1458	vléci se-002
vlétnout	v-w10161f3	vlétnout-001
vlétnout	v-w10161f4_ZU	vlétnout-002
vlévat	v-w10232f2	vlévat-001
vlévat se	v-w11270f1	vlévat se-001
vlézt	v-w7654f1	vlézt-001
vlézt	v-w7654f2_ZU	vlézt-002
vlézt	v-w7654hsa_436	vlézt-002	substituted with v-w7654f2_ZU
vlézt	v-w7654f3_ZU	vlézt-003
vlézt	v-w7654hsa_437	vlézt-003	substituted with v-w7654f3_ZU
vlézt	v-w7654hsa_435	vlézt-004
vlít	v-w11616_ZUf1_ZU	vlít-001
vmanipulovat	v-w10225f2	vmanipulovat-001
vmanévrovat	v-whsa_1313hsa_1314	vmanévrovat-001
vmašírovat	v-w11895_ZUf1_ZU	vmašírovat-001
vmáčknout	v-w11136f2	vmáčknout-001
vmáčknout	v-w11136hsa_333	vmáčknout-002
vměšovat se	v-w7664f1	vměšovat se-001
vměšovat se	v-w7664f2	vměšovat se-002
vniknout	v-w7667f1	vniknout-001
vnořit	v-w11835_ZUf1_ZU	vnořit-001
vnucovat	v-w7675f1	vnucovat-001
vnucovat se	v-w7676f1	vnucovat se-001
vnutit	v-w7678f1	vnutit-001
vnutit se	v-whsa_936hsa_937	vnutit se-001
vnášet	v-w7665f1	vnášet-001
vnést	v-w7666f1	vnést-001
vnímat	v-w7672f2	vnímat-001
vnímat	v-w7672f3_ZU	vnímat-002
vnímat	v-w7672f1	vnímat-002	substituted with v-w7672f3_ZU
vnímat	v-w7672hsa_716	vnímat-003
vodit	v-w7680f1	vodit-001
